user_input,intent,bot_response,escalation_needed,emotion_tag,follow_up_question,resource_link
I feel left out in my class,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I feel so lonely at college,loneliness,It takes time to build friendships. You're worthy of meaningful connections.,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
Exams are stressing me out,exam_anxiety,"Exams can be overwhelming. Remember, you're doing your best and that's what matters.",No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
I'm really anxious about my exams,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
I'm really anxious about my exams,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
I have no motivation to study,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
good night please,greeting,"Good night! Remember, tomorrow is a fresh start.",No,neutral,,
i did well in exam,positive,Congrats! You deserve to celebrate your hard work.,No,positive,,
I'm scared I might fail my test,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Would you like to talk about your study routine?,https://adaa.org/living-with-anxiety/children/test-anxiety
i made a new friend,positive,That’s great! New friendships can bring joy.,No,positive,,
Everyone else has friends except me,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
i feel anxious in class,anxiety,"It’s okay, many students experience this. Try breathing slowly when you feel nervous.",No,anxiety,Do you want me to share relaxation techniques?,
I have no motivation to study,motivation,It’s okay to feel unmotivated sometimes. Taking small steps can help you get back on track.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
I feel left out in my class,loneliness,"I'm sorry you're feeling this way. You're not alone, many students feel lonely at times.",No,negative,Would you like to share more about how you feel in social situations?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
Everyone else has friends except me,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
I feel like giving up,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
I don't see the point of studying anymore,motivation,Sometimes starting with just 5 minutes of work can help build momentum.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
i feel empty please,sadness,I'm sorry you're feeling this way. You're not alone.,No,negative,Would you like some self-care suggestions?,
I'm really anxious about my exams,exam_anxiety,"Exams can be overwhelming. Remember, you're doing your best and that's what matters.",No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
I'm scared I might fail my test,exam_anxiety,"Exams can be overwhelming. Remember, you're doing your best and that's what matters.",No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
Everyone else has friends except me,loneliness,College can feel isolating sometimes. Have you thought about joining a student club or activity?,No,negative,Do you want to explore ways to meet new people?,https://www.mind.org.uk/information-support/tips-for-everyday-living/student-life/loneliness-at-university
i feel anxious please,anxiety,"It’s okay, many students experience this. Try breathing slowly when you feel nervous.",No,anxiety,Do you want me to share relaxation techniques?,
i get nervous before exams please,anxiety,That’s natural. Would you like some exam relaxation strategies?,No,anxiety,,
I'm really anxious about my exams,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
i feel empty please,sadness,I'm sorry you're feeling this way. You're not alone.,No,negative,Would you like some self-care suggestions?,
I can't focus on studying,exam_anxiety,Taking breaks and practicing relaxation techniques might help you focus better.,No,negative,Do you want tips for managing exam stress?,https://adaa.org/living-with-anxiety/children/test-anxiety
good night please,greeting,"Good night! Remember, tomorrow is a fresh start.",No,neutral,,
I don't see the point of studying anymore,motivation,Remind yourself of your goals and why you started. Even little progress counts.,No,negative,Would you like to talk about what’s making you feel this way?,https://www.apa.org/topics/motivation
